date,startup_name,industry,city,investment_type,amount_usd,period
2015-01-02,LensKart,,,Private Equity,2150000.0,Pre-COVID
2015-01-02,VioletStreet,,,Seed,315000.0,Pre-COVID
2015-01-05,#Fame,,,Private Equity,10000000.0,Pre-COVID
2015-01-05,Lookup,,,Seed,380000.0,Pre-COVID
2015-01-05,Gympik,,,Seed,135000.0,Pre-COVID
2015-01-06,NumberMall,,,Private Equity,10000000.0,Pre-COVID
2015-01-06,Tookitaki,,,Private Equity,1000000.0,Pre-COVID
2015-01-06,Frankly,,,Seed,600000.0,Pre-COVID
2015-01-06,Near.in,,,Seed,285000.0,Pre-COVID
2015-01-06,Purplle.com,,,Private Equity,,Pre-COVID
2015-01-07,Faircent,,,Seed,,Pre-COVID
2015-01-07,Nurturey,,,Crowd Funding,125000.0,Pre-COVID
2015-01-07,Bewakoof,,,Seed,,Pre-COVID
2015-01-07,Stridalyzer,,,Crowd Funding,30768.0,Pre-COVID
2015-01-07,Commonfloor,,,Private Equity,5000000.0,Pre-COVID
2015-01-09,TapCibo,,,Seed,,Pre-COVID
2015-01-09,Sokrati,,,Private Equity,,Pre-COVID
2015-01-09,YepMe,,,Private Equity,13000000.0,Pre-COVID
2015-01-12,Verayu,,,Private Equity,,Pre-COVID
2015-01-12,MyDreamStore,,,Seed,290000.0,Pre-COVID
2015-01-13,AppVirality,,,Seed,,Pre-COVID
2015-01-14,RateGain,,,Private Equity,50000000.0,Pre-COVID
2015-01-15,Wishberry,,,Seed,650000.0,Pre-COVID
2015-01-16,eKincare,,,Seed,161000.0,Pre-COVID
2015-01-18,ShopClues,,,Private Equity,100000000.0,Pre-COVID
2015-01-19,Refiral,,,Seed,330000.0,Pre-COVID
2015-01-19,HealthyWorld.in,,,Seed,200000.0,Pre-COVID
2015-01-19,Hostel Dunia,,,Seed,16000.0,Pre-COVID
2015-01-19,Play your sport,,,Seed,16000.0,Pre-COVID
2015-01-19,Yo Grad,,,Seed,16000.0,Pre-COVID
2015-01-19,Enabli,,,Seed,16000.0,Pre-COVID
2015-01-19,CBS,,,Seed,16000.0,Pre-COVID
2015-01-19,Ping Digital,,,Seed,,Pre-COVID
2015-01-20,Hopscotch,,,Private Equity,11000000.0,Pre-COVID
2015-01-20,Amagi Media Labs,,,Private Equity,,Pre-COVID
2015-01-20,HealthyWorld.in,,,Seed,200000.0,Pre-COVID
2015-01-21,Simplilearn,,,Private Equity,14750000.0,Pre-COVID
2015-01-21,MyDreamStore,,,Seed,325000.0,Pre-COVID
2015-01-22,Caratlane.com,,,Private Equity,31000000.0,Pre-COVID
2015-01-22,Englishleap.com,,,Private Equity,,Pre-COVID
2015-01-22,Freshmonk,,,Seed,,Pre-COVID
2015-01-22,Antuit,,,Private Equity,56000000.0,Pre-COVID
2015-01-24,Aasaanjobs,,,Seed,1500000.0,Pre-COVID
2015-01-24,Impartus,,,Private Equity,,Pre-COVID
2015-01-25,Thrill App,,,Private Equity,1000000.0,Pre-COVID
2015-01-27,CarDekho.com,,,Private Equity,50000000.0,Pre-COVID
2015-01-28,Grabhouse.com,,,Private Equity,2500000.0,Pre-COVID
2015-01-29,Printvenue,,,Private Equity,4500000.0,Pre-COVID
2015-01-29,Graphene,,,Private Equity,825000.0,Pre-COVID
2015-01-30,Simplotel,,,Private Equity,,Pre-COVID
2015-01-30,Mad Street Den,,,Private Equity,1500000.0,Pre-COVID
2015-01-31,couponmachine.in,,,Seed,140000.0,Pre-COVID
2015-02-02,Faaya,,,Seed,16600.0,Pre-COVID
2015-02-02,InstaBounce,,,Seed,16600.0,Pre-COVID
2015-02-02,Chloroplast Foods,,,Seed,16600.0,Pre-COVID
2015-02-02,Dealwithus,,,Seed,16600.0,Pre-COVID
2015-02-02,CleverSharks,,,Seed,16600.0,Pre-COVID
2015-02-02,Leaf,,,Seed,16600.0,Pre-COVID
2015-02-02,SmartPocket,,,Seed,250000.0,Pre-COVID
2015-02-02,Yumist,,,Private Equity,1000000.0,Pre-COVID
2015-02-02,NowFloats,,,Private Equity,,Pre-COVID
2015-02-02,FirstCry,,,Private Equity,26000000.0,Pre-COVID
2015-02-02,HolaChef,,,Seed,325000.0,Pre-COVID
2015-02-03,Manthan,,,Private Equity,60000000.0,Pre-COVID
2015-02-03,Frsh.co.in,,,Seed,518000.0,Pre-COVID
2015-02-05,Paytm,,,Private Equity,,Pre-COVID
2015-02-05,Aisle.co,,,Seed,100000.0,Pre-COVID
2015-02-05,Kobster.com,,,Seed,,Pre-COVID
2015-02-05,Culture Machine,,,Private Equity,18000000.0,Pre-COVID
2015-02-06,FreeCharge,,,Private Equity,80000000.0,Pre-COVID
2015-02-06,NewsHunt,,,Private Equity,40000000.0,Pre-COVID
2015-02-09,MyNoticePeriod,,,Private Equity,3000000.0,Pre-COVID
2015-02-09,CarDekho.com,,,Private Equity,,Pre-COVID
2015-02-09,Faaso\\xe2\\x80\\x99s,,,Private Equity,20000000.0,Pre-COVID
2015-02-10,CarTrade.com,,,Private Equity,,Pre-COVID
2015-02-10,StoreKing,,,Private Equity,,Pre-COVID
2015-02-11,Nimble Wireless,,,Seed,3000000.0,Pre-COVID
2015-02-11,Capital Float,,,Private Equity,13000000.0,Pre-COVID
2015-02-11,FindYahan,,,Seed,,Pre-COVID
2015-02-11,Townscript,,,Seed,,Pre-COVID
2015-02-12,Practo,,,Private Equity,30000000.0,Pre-COVID
2015-02-12,Stayzilla,,,Private Equity,20000000.0,Pre-COVID
2015-02-13,CimplyFive,,,Seed,,Pre-COVID
2015-02-13,20Dresses,,,Seed,1000000.0,Pre-COVID
2015-02-13,Itzcash,,,Private Equity,16500000.0,Pre-COVID
2015-02-16,NewsInShorts,,,Private Equity,4150000.0,Pre-COVID
2015-02-16,iTraveller.com,,,Private Equity,1000000.0,Pre-COVID
2015-02-17,NextGen,,,Seed,,Pre-COVID
2015-02-18,Wooplr.com,,,Private Equity,5000000.0,Pre-COVID
2015-02-20,Klip.in,,,Seed,500000.0,Pre-COVID
2015-02-20,Renderlogy,,,Private Equity,1600000.0,Pre-COVID
2015-02-21,Appbase,,,Seed,290000.0,Pre-COVID
2015-02-23,Smartairtrip.com,,,Private Equity,10000000.0,Pre-COVID
2015-02-23,Trip38,,,Private Equity,1000000.0,Pre-COVID
2015-02-23,NoBroker,,,Private Equity,3000000.0,Pre-COVID
2015-02-23,HomeLane,,,Private Equity,4500000.0,Pre-COVID
2015-02-24,Caravan Craft Retail,,,Seed,500000.0,Pre-COVID
2015-02-25,IndustryBuying,,,Private Equity,2000000.0,Pre-COVID
2015-02-25,SquadRun,,,Seed,,Pre-COVID
2015-02-25,Clonect Solutions,,,Seed,250000.0,Pre-COVID
2015-02-25,TaxSutra,,,Seed,160000.0,Pre-COVID
2015-02-25,PepperTap,,,Seed,,Pre-COVID
2015-02-25,Sattviko,,,Seed,320000.0,Pre-COVID
